round	[0]	B	01100001	01101000	01101101	01100101	01100100	
round	[0]	A	10010101	01100111	10011111	10011010	01101010	
round	[1]	B	10010101	01100111	10011111	10011010	01101010	
round	[1]	A	10100011	00011111	11110010	00101011	11101010	
round	[2]	B	10100011	00011111	11110010	00101011	11101010	
round	[2]	A	01001101	10101100	01110111	11110100	01110011	
round	[3]	B	01001101	10101100	01110111	11110100	01110011	
round	[3]	A	10011001	10110101	11010011	10110011	11010111	
round	[4]	B	10011001	10110101	11010011	10110011	11010111	
round	[4]	A	11101001	10001110	00110011	10011011	00110111	
round	[4]	B	10011001	10110101	11010011	10110011	11010111	
round	[4]	B	10011011	10110101	11010011	10110011	11010111	
round	[4]	B	10011011	01101000	11010011	10110011	11010111	
round	[4]	B	10011011	01101000	10010101	10110011	11010111	
round	[4]	B	10011011	01101000	10010101	01011110	11010111	
round	[4]	A	11101001	10001110	00110011	10011011	00110111	
round	[3]	B	01001101	10101100	01110111	11110100	01110011	
round	[3]	B	11101001	10101100	01110111	11110100	01110011	
round	[3]	B	11101001	11111111	01110111	11110100	01110011	
round	[3]	B	11101001	11111111	10100001	11110100	01110011	
round	[3]	B	11101001	11111111	10100001	11000001	01110011	
round	[3]	A	10011011	01101000	10010101	01011110	10000101	
round	[2]	B	10100011	00011111	11110010	00101011	11101010	
round	[2]	B	01100100	00011111	11110010	00101011	11101010	
round	[2]	B	01100100	01111010	11110010	00101011	11101010	
round	[2]	B	01100100	01111010	00000111	00101011	11101010	
round	[2]	B	01100100	01111010	00000111	10000100	11101010	
round	[2]	A	11101001	11111111	10100001	11000001	10000011	
round	[1]	B	10010101	01100111	10011111	10011010	01101010	
round	[1]	B	00100010	01100111	10011111	10011010	01101010	
round	[1]	B	00100010	01100011	10011111	10011010	01101010	
round	[1]	B	00100010	01100011	11000111	10011010	01101010	
round	[1]	B	00100010	01100011	11000111	10100000	01101010	
round	[1]	A	01100100	01111010	00000111	10000100	11101011	
